Reviews
"fancy hotel missing amenities hubby arrived dfw airport way wedding colorado flights destination cancelled blizzard, booked flight available n't afternoon, course did n't luggage, 30-hour layover.we decided make best stay grand hyatt right terminal d. called hyatt 800 number reservations afternoon, bit splurge figured time paid cab shuttle cheaper add, tried check reservation actually hyatt airport, asked switch reservation, young lady reception desk desk tried talk saying grand hyatt expensive etc.. got feeling did n't luggage dressed casual travel clothing did n't fit rest clientele, credit card good finally checked giving discount aaa card, room 200.00 discount.the room nice large modern decor, no coffee service, n't pen write, remote control flatscreen tv did n't work well.since lot time kill took towncar local mall did shopping, towncar driver said cars complimentary service provided hotel cheaper cab, 10 way plus tip, paid 50 drive outlet mall bargains, towncar driver great good conversationalist picked promptly designated time.we relaxing stay good prelude hectic wedding weekend,  "
"supeb business hotel overnighted hotel think thats pretty visitors, best things hotel:1. new greatly furnished 32in flat screen panel great bathroom bed room, new best 2, excellent front-desk service extremely polite fast accomodating going way.3, right terminal d catching early flight morning no travel time terminal, flight leaves terminal skylink works pretty fast, dont say truly understand hotel currently 1 dallas, recommend wholeheartedly.forgot say arrived 10pm left early morning not flights taking time occasions hear planes roaring wonder day,  "
"great hyatt stay, stayed dfw grand hyatt second time august 31 flying terminal d following morning, stayed grand hyatt night flight year scan october review again.we signed park fly package provided parking terminal d lot week wound paying extra 32 16 x days left knew ahead time, wound saving heck lot money plan usually park parking spot shuttle glad stayed airport lot, spot 90 seconds terminal fabulous overnight flight dfw hawaii hours late no painless walk baggage claim car.just like time room spotless, n't think bad room hotel views pretty unless stuck stairs elevator, drinks downstairs bartender jason gave sample pineapple vodka preserving bar, grand hyatt online concierge help special room requests dinner reservations, did n't need particularly taxing did sign extra towels hotel, imagine surprise request actually honored, nice touch showed grand hyatt takes little things seriously.the drinks great conversation good room comfortable luxurious, love bed ca n't wrong plush linens new bed, bathroom huge tub small big fan huge shower.check-in quick friendly did snafu check-out charged 70 reserved rate, charge quickly updated did n't cause lose time.our regret stay long partake beautiful fitness facility upstairs local really no reason stay night.we highly recommend hotel glad finally someplace stay site old outdated hyatt,  "
"wonderful stay highly recommend stayed omni 21st wedding anniversary, got great room 12th floor, room quiet hardly heard noise hall, bed huge ok like little softer wasnt hard rock hotel bed, flat screen tv nice, didnt use safe eat frig food way pricey, 2.25 candy bar unreal, dark curtains wonderful kept room nice dark late saturday morning sleep, hotel sent champagne chocolate covered strawberries, nice surprise, ate breakfast dover restaurant wonderful, buffet choices cold cereal muffins pastries eggs bacon sausages best western hashbrowns world, waitress wonderful kept beverages flowing, desk helpful, did online checkin key waiting, did phone check did hand key walk door, hotel easy,  "
"comfortable stay isolated problem min-bar charge hotel generally nice, plus 1.the bedding extremely comfortable, sleep well.2.the hotel quiet.3.there nice pool, roomy little sprinklers squirt side.4.there lots free parking, negatives:1. hotel isolated, not walk, try probably run, hotel does operate shuttle come serve basis, ca n't reserve use, best rental car stay place, plenty restaurants exits down.2, expensive restaurant premises bar bar food, bar food not healthy.2, spray wierd fragrance lobby guess create ambience, smells like really strong synthetic floral perfume, yuck.3, hotel erroneously charged mini-bar 50.00, did not use mini bar guessing hotel employee took stuff mini-bar charged room, called hotel apologized said refunded, did appreciate quick response hey not used having false charges credit card, glad checked.all n't bad stay, reasons probably seek hotel time dallas, business area probably decent choice,  "
"great hotel time staying omni hotels n't sure expect pleasantly surprised, turn service includes glass milk big chocolate chip cookie.if sign reward program receive complementary breakfast package left door hand personally.the bed comfortable room general fairly clean, bathroom good size water flow n't greatest.when needed stay extended moved presidential suite mercy, huge included library piano dinining room area bar think 3 bathrooms sunk tub, decor quite outdated room comfortable.my complaint reservation telephone staff kept hold close 25 minutes tried handle reservations,  "
"nice night omni great impression, large upscale, comfy beds complementary chocolates flat screen tv stay memorable, booking expedia helped secure great deal,  "
"adequate/for expense accounts stayed weekend october, room service adequate management pretty shameless respect hidden charges, example minute phone calls state 14 dollars minute, corporate room rate charged amex significantly higher amex rate available weekend stays booked directly on-line, finally fees use business centre astronomical completely divorced reality, really possible advantage fact nothing nearby, strictly hotel people expense accounts,  "
"stay pleasure overview reviews rate property similar area facilities not class hotel area vs. class area.located equidistant love dfw airport hotel freeway minimal facilities property, cab ride love 30.00, single building public areas semi roman design, small gym outdoor pool, shuttle service available 15.00the good rooms spacious soft contemporary furnishings, large 42__Ç plasma t.v, work desk plugs high speed additional electric outlets desk, nice bath granite, bellman door arrival, check flawless, sound proofing excellent, heard freeway noise room freeway neighbor, great bedding, breakfast buffet restaurant outstanding great value, excellent cookies provided breaks, mini bar service daily paper.the bad food service provider banquets not considered provider palatable source food, ugly large hotel convention, single hotel restaurant closed private party, forced cars eat snack food bar, no support facilities noted nearby arrive car__Ç line great business hotel, passing dallas needed overnight hotel excellent value, hotel perform flawlessly convention food nice upscale quiet facility,  "
"no housekeeping checked given room not, left bag closet went desk reported condition ask room cleaned assured left afternoon evening, returning bed fresh towels, looking room soap not changed half bottles shampoo conditioner trash not emptied dirty glasses room pulled bed sheets not changed, called desk originally told maid service provided 3 days, course typical sign room says linens changed 3 days not housekeeping provided 3 days, took 10 minutes convince desk clerk not going sleep dirty sheets said, 20 minutes called desk clerk gone task, eventually night auditor got invloved moved room, second night new room received no housekeeping service no bed no fresh towels no vacum no emptied trash absolutely nothing, stay did not requested wake morning departure, facility nice bell staff notch, talked expedia 3 times not able satisfaction hotel trying, strangly recomend hotel,  "
"nice hotel short nice hotel ac poor.check-in fast no-one line, lobby area large spacious nothing spectacular, rooms appointed certainly not largest rooms seen, beds soft plenty pillows, bathrooms fine nothing special, water hot, useless air conditioning meant drapes closed entire stay, left thermostat lowest setting like 50 60 fan hi room got cold somewhat-acceptably cool, wireless internet usually worked tv decent channel selection lost half channels night unexplicably, note no vending machines floor ice machine, want late order room service 20 service charge plus 3 delivery minibar locked not planned using restaurant downstairs dovers grill decent, not great not bad, recommend filet stay away crab cakes, typically priced hotel average dinner 40 so.nice location luna rd easy access shops mcarthur not far galleria mall.overall 3/5 not air conditioning problem given 4/5,  "
"hoped chose omni dallas park west lot research based trip advisor, not dissappointed, inside stunning, huge lobby generally impressive ground floor, room large clean pleasant.the staff extremely helpful needed them.parking free plenty it.the location perfect, way centre dallas 15miles going nfl baseball dallas city centre jfk museum reunion tower dallas fort worth airport superbly located places.there huge number eating places 1 2 minutes drive 3 went really nice inexspensive family friendly places.for dont know dallas need car food portions just huge.hope helps.feel free contact offer info,  "
